accuracy,precision,recall,macro_f1,weighted_f1,iteration,labeled_samples,annotation_percentage
0.8942765675021472,0.4842395279485503,0.4912743849619801,0.4798750827198404,0.9058184908609975,0,500,5.0
0.8609354259389397,0.44055763715035157,0.47824170252057013,0.43875490877779955,0.87927179846832,1,600,6.0
0.8913875224486609,0.4642529251239126,0.49469053780388555,0.4641924118176994,0.9014877848275576,2,700,7.000000000000001
0.8334504567814477,0.4291824823974847,0.4848666966327677,0.42240456841477503,0.8592182541774712,3,800,8.0
0.898805340829234,0.4934483822512023,0.5064505130383943,0.4891447310880216,0.9060740992666053,4,900,9.0
0.8736628406340282,0.4664468758988548,0.5044777704933174,0.46506667616242947,0.8880574702985186,5,1000,10.0
0.8417271804481924,0.44061018711494704,0.4937195190798245,0.437447535513391,0.8654991691840931,6,1100,11.0
0.8907628640587179,0.47007491969687293,0.49929328959474695,0.47046967104976023,0.89951945297817,7,1200,12.0
0.9095806980557508,0.4985386351620079,0.5084063268018014,0.49414571302138804,0.9145322000724452,8,1300,13.0
0.9059108300148356,0.4947405276330973,0.5111142723268693,0.4920189420159472,0.9120648656626037,9,1400,14.000000000000002
0.8351682673537909,0.4371663492757243,0.4841240639840804,0.4288333544304921,0.8617915342243748,10,1500,15.0
0.9042711017412353,0.4826755462561533,0.48827592695330646,0.4758663085860932,0.9100861164285753,11,1600,16.0
0.8371203248223628,0.431949634851056,0.47638900644868415,0.42226268053673977,0.8637436713202865,12,1700,17.0
0.8868587491215741,0.46381951192139,0.49605345183133415,0.46156355847539937,0.8987911620290462,13,1800,18.0
0.8976341063480909,0.47488527515868695,0.4986122247500628,0.472298963208451,0.9063937623740229,14,1900,19.0
0.8517997969860233,0.439002152599841,0.48759768645636353,0.43244249703260396,0.8735289429639268,15,2000,20.0
0.8772546263762006,0.45472554132715404,0.4984904295389046,0.45244621002905294,0.8908713258017193,16,2100,21.0
0.8574217224955103,0.464829065367934,0.503343429915805,0.45554101588696627,0.8774435729264642,17,2200,22.0
0.848208011243851,0.4390851461001931,0.4912540982255149,0.43172351480194165,0.8708437598362331,18,2300,23.0
0.9161396111501523,0.559511199105881,0.5250027952351974,0.5188755676079028,0.9193713705629614,19,2400,24.0
0.9010697274927774,0.5167038137772417,0.531181631311805,0.5019922920265367,0.9077778265680602,20,2500,25.0
0.9091902865620364,0.5342221392536152,0.525387790229322,0.5096106666553238,0.9136494152910707,21,2600,26.0
0.8634340594987117,0.48810849625067776,0.524857389015016,0.46987444043280596,0.8812430386943835,22,2700,27.0
0.8641368001873975,0.47604451446437646,0.5228711930174491,0.46717471340914757,0.8812738966231063,23,2800,28.000000000000004
0.9060669946123214,0.48077431183775576,0.5122201264567987,0.48085603676174477,0.9118189077657616,24,2900,28.999999999999996
0.8769422971812291,0.5046600538067849,0.5184741764452042,0.47871333562511104,0.8909311051957945,25,3000,30.0
0.9102053564456938,0.4871393774121314,0.5119475662635916,0.4865143727322449,0.9150969708957403,26,3100,31.0
0.9127820723042086,0.4883942151260183,0.5123334356267001,0.4880508236731507,0.9166095950507493,27,3200,32.0
0.8970875302568908,0.5221911659195603,0.5307646713264177,0.49947287475719176,0.9051794298885086,28,3300,33.0
0.91254782540798,0.4901139687310902,0.5173295658285417,0.48982586192924193,0.9170133408651466,29,3400,34.0
0.9057546654173498,0.48018013681247246,0.5110898596843229,0.480228480295,0.9112874268817351,30,3500,35.0
0.9011478097915203,0.4759472883919342,0.5142277861522752,0.47640415072064374,0.9080995287591195,31,3600,36.0
0.9004450691028344,0.47502711941174336,0.5128307237441184,0.4755737789563247,0.9069057233471716,32,3700,37.0
0.9146560474740376,0.49220135440728024,0.5184176665127682,0.49186761324400974,0.9175979026538305,33,3800,38.0
0.8660888576559694,0.515991973783209,0.5234083654568915,0.4749980645877784,0.8831909270853514,34,3900,39.0
0.9121574139142656,0.4888389724158918,0.5139078884835138,0.48829490181274016,0.9162134571672234,35,4000,40.0
0.9079409697821503,0.5153949404270998,0.5384580944637439,0.5076714921660318,0.9131350729107613,36,4100,41.0
0.8689779027094557,0.44971793803950677,0.5031587935041896,0.4474667420027762,0.8854854670885389,37,4200,42.0
0.8915436870461466,0.46571562040785,0.5137555239032432,0.46634790323316155,0.9013098087777892,38,4300,43.0
0.9012258920902632,0.4734412346125564,0.5157446814389445,0.4759183794336808,0.9077904119991511,39,4400,44.0
0.8770203794799719,0.4550288021796217,0.5116904314741271,0.45503201970111623,0.891070697359927,40,4500,45.0
0.8922464277348325,0.46655179803949354,0.5140725487920433,0.46815017788727536,0.9014081528985141,41,4600,46.0
0.8984930116342625,0.4732851567656211,0.5138679322444355,0.4745710677987807,0.9058645408847413,42,4700,47.0
0.885062856250488,0.4617835322620832,0.5175645910700346,0.4630715710624072,0.8967607964772001,43,4800,48.0
0.8474271882564223,0.4399972605540263,0.5049509103258336,0.43524705230160954,0.8707048171626695,44,4900,49.0
0.8957601311782619,0.46921192068407314,0.516440273833553,0.4713814819577376,0.903777611541667,45,5000,50.0
0.8905286171624892,0.4640310863795862,0.513731382022447,0.4659402517889055,0.9003237544616657,46,5100,51.0
0.9049738424299212,0.4782425467082991,0.5163797737228777,0.48077037203306644,0.9105363024488908,47,5200,52.0
0.9051300070274069,0.4781536901435321,0.5200510535642733,0.481471729546359,0.9107801392436071,48,5300,53.0
0.9097368626532365,0.484736730246754,0.5126954729239852,0.4852532008764858,0.9140621717564635,49,5400,54.0
0.8953697196845475,0.5354898198989745,0.528971944493434,0.4979287140282354,0.9038111361876112,50,5500,55.00000000000001
0.9064574061060358,0.48075262814801406,0.5213597532917389,0.48347589333831004,0.911743586133457,51,5600,56.00000000000001
0.8824080580932303,0.4578044479913822,0.5061230956700332,0.457192527786029,0.8941773611610568,52,5700,56.99999999999999
0.908799875068322,0.4830705187437883,0.5177603059225112,0.48449154897979574,0.9134765294016217,53,5800,57.99999999999999
0.9091122042632935,0.48431700535780164,0.5126924849261255,0.48417007792615985,0.9137944965206445,54,5900,59.0
0.9077848051846646,0.4820539666991362,0.51374994648067,0.4821302497984691,0.9126530119624738,55,6000,60.0
0.9042711017412353,0.577639082539716,0.5391399310530108,0.5115421598429613,0.9105166039134744,56,6100,61.0
0.9103615210431795,0.4851569894094239,0.5155873759071656,0.48612031902523684,0.9147371952365472,57,6200,62.0
0.9126259077067229,0.5543005123859861,0.5340252938342371,0.5165554806508778,0.9170262126904872,58,6300,63.0
0.8857655969391739,0.46085768960806134,0.5095660685756216,0.4608190005551053,0.896525642740645,59,6400,64.0
0.8809244944171156,0.45619039479427503,0.5027662322951209,0.4547593712826992,0.893507140324939,60,6500,65.0
0.8977121886468338,0.5105386709816224,0.5304874874587974,0.4966870822753854,0.9056235927020095,61,6600,66.0
