accuracy,precision,recall,macro_f1,weighted_f1,iteration,labeled_samples,annotation_percentage
0.8953697196845475,0.5107361959457422,0.47959332858583936,0.48605628180064875,0.9076195880094625,0,100,5.0
0.8535176075583665,0.4623336255796026,0.45611095870012647,0.4581397907644817,0.8657171714663063,1,200,10.0
0.8998204107128914,0.5507157497778467,0.4532425240556779,0.4931097812092681,0.9089159210703844,2,300,15.0
0.884438197860545,0.483882189674679,0.46612234811604375,0.4715875164787546,0.9002701748009562,3,400,20.0
0.9098149449519793,0.5087448436526915,0.4818191045571492,0.490906921591124,0.919031827835113,4,500,25.0
0.8664011868509409,0.45310337469499207,0.48760995251039674,0.4473987934817549,0.8870004759518391,5,600,30.0
0.9109080971343796,0.5179056763735044,0.5369005452016047,0.5150443709140827,0.9180695087058499,6,700,35.0
0.9122354962130085,0.524525118685286,0.5013591147152229,0.5095963467787245,0.9189243313210211,7,800,40.0
0.9074724759896932,0.5036705372971293,0.49699077494001437,0.49504717850534813,0.9153620320566139,8,900,45.0
0.9105176856406653,0.4996379307646753,0.48540771220184065,0.48857734039168754,0.9168574817783205,9,1000,50.0
0.9154368704614664,0.5142018473840836,0.4936787684297353,0.5002907682528667,0.9223188408736992,10,1100,55.00000000000001
0.8370422425236199,0.43170634762823656,0.47162281885920326,0.423509653125654,0.8652446197698419,11,1200,60.0
0.8567189818068244,0.4369045122388733,0.46680694226737324,0.43204300721751876,0.8779584962706951,12,1300,65.0
0.8317326462091044,0.42947868870184014,0.4765297098548856,0.42228403691443817,0.8611806678420142,13,1400,70.0
0.8435230733192786,0.4327228194608913,0.4710741892217632,0.4279782555502168,0.869280911257438,14,1500,75.0
0.8380573124072773,0.4319404214101733,0.4684920790306525,0.4240157150738219,0.8660570850261147,15,1600,80.0
0.815101116576872,0.420365184567296,0.47008460901437,0.4123674787928205,0.8496505351908756,16,1700,85.0
0.8654641992660264,0.4431636943471746,0.4791789494645746,0.44267611168712656,0.8838355847370938,17,1800,90.0
0.8378230655110487,0.42852320331919397,0.4683874240393571,0.42241403907923303,0.8648441055979061,18,1900,95.0
0.8582806277816819,0.4356955705012787,0.46646015477435954,0.4338904082239776,0.877435136114161,19,2000,100.0
