accuracy,precision,recall,macro_f1,weighted_f1,iteration,labeled_samples,annotation_percentage
0.8953697196845475,0.5107361959457422,0.47959332858583936,0.48605628180064875,0.9076195880094625,0,100,5.0
0.901303974389006,0.49232876655017244,0.48777143319888294,0.48513793804450434,0.9110288082872124,1,200,10.0
0.8724135238541423,0.47577343475096184,0.47334432963546486,0.46171968276483255,0.8951741894955538,2,300,15.0
0.8528929491684235,0.4446187374749663,0.4701110918106869,0.4370179964235601,0.8724678394960502,3,400,20.0
0.8852190208479738,0.488536185620823,0.48041341874308136,0.4761574102006696,0.8993658660113304,4,500,25.0
0.8609354259389397,0.4484364742468717,0.46523142260098593,0.44028161369281876,0.8821559425447072,5,600,30.0
0.9073943936909502,0.5040051463842916,0.5173742558285563,0.5001415335383536,0.9162611810791212,6,700,35.0
0.9036464433512923,0.492658396721575,0.4921018055273841,0.485677025954595,0.9132686798018588,7,800,40.0
0.9123135785117514,0.5096935372650939,0.5150265437868706,0.5043948724035938,0.9199810686778542,8,900,45.0
0.9127039900054658,0.5123009894952129,0.49484522529474084,0.49948656334584374,0.9206545064275526,9,1000,50.0
0.8754587335051144,0.45687958162598347,0.48501879254242475,0.4539735344461927,0.8923206770833042,10,1100,55.00000000000001
0.9085656281720934,0.4950521794909342,0.5049163631323698,0.49249216976249033,0.9161232807457761,11,1200,60.0
0.8617943312251113,0.4434694180939006,0.4791208008806941,0.4396821576024016,0.8816011905041954,12,1300,65.0
0.8707737955805419,0.44931382177133267,0.4794499891991265,0.4459274533831031,0.88795906993011,13,1400,70.0
0.842586085734364,0.4349446763671606,0.47400735746448375,0.4288416542106659,0.8698446990444536,14,1500,75.0
0.8329038806902476,0.42752871815859805,0.47142944591491487,0.4208790387198775,0.8617042432219854,15,1600,80.0
0.8404778636683063,0.4307480782180657,0.4828122450181439,0.42796533400871545,0.8658064953916312,16,1700,85.0
0.8368079956273913,0.4296028897821066,0.47819333000080455,0.42452228323508284,0.8643191402639284,17,1800,90.0
0.8931053330210041,0.46893537148375464,0.4851356564206812,0.466619911448099,0.9035528687325703,18,1900,95.0
0.835714843444991,0.4257944082501268,0.46870826799415644,0.420660525274376,0.8623632853244493,19,2000,100.0
